,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.003667036692301432,0.00047148278552956437,0.0033336480458577475,0.0004728318051516845,"{0: 1, 1: 1}",3,6,4,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 4}",0.6271186440677966,0.7175572519083969,0.6615384615384615,66.87381191715517,0.037270736953287795,82
1,0.004330635070800781,0.0004737482156151706,0.004004478454589844,6.0691461855687405e-06,"{0: 1, 1: 1}",3,6,5,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 5}",0.6271186440677966,0.7175572519083969,0.6615384615384615,66.87381191715517,0.037270736953287795,82
2,0.0056667327880859375,0.0012465554078972046,0.005000670750935872,0.0008178992667765602,"{0: 1, 1: 1}",3,6,6,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 6}",0.6271186440677966,0.7175572519083969,0.6615384615384615,66.87381191715517,0.037270736953287795,82
3,0.005328734715779622,0.00047639191556351536,0.004334608713785808,0.00047075510802583773,"{0: 1, 1: 1}",3,7,4,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 3, 'min_samples_leaf': 7, 'min_samples_split': 4}",0.6818181818181819,0.7175572519083969,0.6615384615384615,68.69712984216801,0.023158039304953096,42
4,0.005000193913777669,1.9979167127571954e-06,0.004667838414510091,0.0004710898674658932,"{0: 1, 1: 1}",3,7,5,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 3, 'min_samples_leaf': 7, 'min_samples_split': 5}",0.6818181818181819,0.7175572519083969,0.6615384615384615,68.69712984216801,0.023158039304953096,42
5,0.004332621892293294,0.00047468815112726036,0.004000425338745117,0.0008173134250527818,"{0: 1, 1: 1}",3,7,6,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 3, 'min_samples_leaf': 7, 'min_samples_split': 6}",0.6818181818181819,0.7175572519083969,0.6615384615384615,68.69712984216801,0.023158039304953096,42
6,0.004000504811604817,1.1406501209264853e-06,0.0033333301544189453,0.00047120177640471074,"{0: 1, 1: 1}",3,8,4,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 4}",0.6818181818181819,0.6976744186046512,0.6615384615384615,68.03436873204315,0.014789240431031782,64
7,0.004667043685913086,0.0009420666797238837,0.004342714945475261,0.00046502023875674687,"{0: 1, 1: 1}",3,8,5,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 5}",0.6818181818181819,0.6976744186046512,0.6615384615384615,68.03436873204315,0.014789240431031782,64
8,0.004333813985188802,0.0004716513427792448,0.0036666393280029297,0.0004712018568280267,"{0: 1, 1: 1}",3,8,6,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 6}",0.6818181818181819,0.6976744186046512,0.6615384615384615,68.03436873204315,0.014789240431031782,64
9,0.004661957422892253,0.0004686568780461894,0.0036826133728027344,0.000943077902371219,"{0: 1, 1: 1}",3,9,4,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 3, 'min_samples_leaf': 9, 'min_samples_split': 4}",0.6818181818181819,0.6976744186046512,0.6615384615384615,68.03436873204315,0.014789240431031782,64
10,0.004001458485921224,1.4868010627325145e-06,0.0029997030893961587,2.614161841614807e-06,"{0: 1, 1: 1}",3,9,5,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 3, 'min_samples_leaf': 9, 'min_samples_split': 5}",0.6818181818181819,0.6976744186046512,0.6615384615384615,68.03436873204315,0.014789240431031782,64
11,0.004326184590657552,0.00047119205848632787,0.0033404032389322915,0.00046266640408143984,"{0: 1, 1: 1}",3,9,6,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 3, 'min_samples_leaf': 9, 'min_samples_split': 6}",0.6818181818181819,0.6976744186046512,0.6615384615384615,68.03436873204315,0.014789240431031782,64
12,0.0043430328369140625,0.00047426231905125116,0.003668705622355143,0.00048147356839907537,"{0: 1, 1: 1}",4,6,4,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 4, 'min_samples_leaf': 6, 'min_samples_split': 4}",0.6938775510204082,0.75177304964539,0.6771653543307087,70.7605318332169,0.03196785621596031,4
13,0.004661877950032552,0.0004686019708645339,0.003995180130004883,0.0008102165165197777,"{0: 1, 1: 1}",4,6,5,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 4, 'min_samples_leaf': 6, 'min_samples_split': 5}",0.6938775510204082,0.75177304964539,0.6771653543307087,70.7605318332169,0.03196785621596031,4
14,0.004001140594482422,1.3626756826625066e-06,0.003334204355875651,0.0004719323518753975,"{0: 1, 1: 1}",4,6,6,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 4, 'min_samples_leaf': 6, 'min_samples_split': 6}",0.6938775510204082,0.75177304964539,0.6771653543307087,70.7605318332169,0.03196785621596031,4
15,0.004000107447306315,4.052336624139774e-07,0.004000027974446614,0.0008147837494139592,"{0: 1, 1: 1}",4,7,4,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 4, 'min_samples_leaf': 7, 'min_samples_split': 4}",0.6715328467153284,0.75177304964539,0.6615384615384615,69.49481192997267,0.04038792282649205,28
16,0.004993756612141927,0.0008093496288521202,0.0040047963460286455,0.0008219872845977626,"{0: 1, 1: 1}",4,7,5,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 4, 'min_samples_leaf': 7, 'min_samples_split': 5}",0.6715328467153284,0.75177304964539,0.6615384615384615,69.49481192997267,0.04038792282649205,28
17,0.004002968470255534,1.5734823444067107e-06,0.0036655267079671225,0.00047058397495385095,"{0: 1, 1: 1}",4,7,6,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 4, 'min_samples_leaf': 7, 'min_samples_split': 6}",0.6715328467153284,0.75177304964539,0.6615384615384615,69.49481192997267,0.04038792282649205,28
18,0.004334688186645508,0.00047187620627490306,0.003997802734375,1.0300859925600466e-06,"{0: 1, 1: 1}",4,8,4,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 4, 'min_samples_leaf': 8, 'min_samples_split': 4}",0.6715328467153284,0.7164179104477612,0.6615384615384615,68.3163072900517,0.023866086105407566,55
19,0.0059986114501953125,0.0008160483445879256,0.0036713282267252603,0.0004747255113367997,"{0: 1, 1: 1}",4,8,5,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 4, 'min_samples_leaf': 8, 'min_samples_split': 5}",0.6715328467153284,0.7164179104477612,0.6615384615384615,68.3163072900517,0.023866086105407566,55
20,0.003994305928548177,7.1693153453470304e-06,0.004004875818888347,0.0008232596490044827,"{0: 1, 1: 1}",4,8,6,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 4, 'min_samples_leaf': 8, 'min_samples_split': 6}",0.6715328467153284,0.7164179104477612,0.6615384615384615,68.3163072900517,0.023866086105407566,55
21,0.004663546880086263,0.0009376271374234861,0.0036618709564208984,0.0009370089180884866,"{0: 1, 1: 1}",4,9,4,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 4, 'min_samples_leaf': 9, 'min_samples_split': 4}",0.6715328467153284,0.7164179104477612,0.6615384615384615,68.3163072900517,0.023866086105407566,55
22,0.004332939783732097,0.00046957224961422336,0.0033332506815592446,0.00047226952663482016,"{0: 1, 1: 1}",4,9,5,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 4, 'min_samples_leaf': 9, 'min_samples_split': 5}",0.6715328467153284,0.7164179104477612,0.6615384615384615,68.3163072900517,0.023866086105407566,55
23,0.003999789555867513,1.632582234078577e-06,0.0033392111460367837,0.0004699674847426935,"{0: 1, 1: 1}",4,9,6,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 4, 'min_samples_leaf': 9, 'min_samples_split': 6}",0.6715328467153284,0.7164179104477612,0.6615384615384615,68.3163072900517,0.023866086105407566,55
24,0.00400090217590332,0.0008169240891517362,0.004333019256591797,0.00047153903155141864,"{0: 1, 1: 1}",5,6,4,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 5, 'min_samples_leaf': 6, 'min_samples_split': 4}",0.6875,0.75177304964539,0.6524822695035462,69.72517730496453,0.04111761636657162,21
25,0.004334290822347005,0.00047181992012995503,0.002999544143676758,1.9466795466607238e-07,"{0: 1, 1: 1}",5,6,5,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 5, 'min_samples_leaf': 6, 'min_samples_split': 5}",0.6865671641791045,0.75177304964539,0.6524822695035462,69.69408277760137,0.04119364374601477,26
26,0.0036727587381998696,0.0004747307000222553,0.0036613146464029946,0.0004673033479568237,"{0: 1, 1: 1}",5,6,6,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 5, 'min_samples_leaf': 6, 'min_samples_split': 6}",0.6875,0.75177304964539,0.6524822695035462,69.72517730496453,0.04111761636657162,21
27,0.0033353964487711587,0.000471091637195977,0.003664811452229818,0.00047041729086304154,"{0: 1, 1: 1}",5,7,4,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 5, 'min_samples_leaf': 7, 'min_samples_split': 4}",0.7058823529411765,0.75177304964539,0.6323529411764705,69.66694479210123,0.049186372034436904,27
28,0.004001617431640625,1.9466795466607238e-07,0.0036676724751790366,0.00047243832457325894,"{0: 1, 1: 1}",5,7,5,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 5, 'min_samples_leaf': 7, 'min_samples_split': 5}",0.7076923076923077,0.75177304964539,0.6323529411764705,69.72727661713894,0.049306630458872604,19
29,0.0036667982737223306,0.0004719885175601573,0.003666400909423828,0.0004722177145344861,"{0: 1, 1: 1}",5,7,6,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 5, 'min_samples_leaf': 7, 'min_samples_split': 6}",0.7076923076923077,0.75177304964539,0.6323529411764705,69.72727661713894,0.049306630458872604,19
30,0.003995974858601888,8.337456766385012e-06,0.0036645730336507163,0.0009416735960024365,"{0: 1, 1: 1}",5,8,4,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 4}",0.6715328467153284,0.6875,0.6323529411764705,66.37952626305997,0.023168976093368814,88
31,0.0036675135294596353,0.0004724946306209645,0.0036671956380208335,0.0004714270419015834,"{0: 1, 1: 1}",5,8,5,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 5}",0.6715328467153284,0.6875,0.6323529411764705,66.37952626305997,0.023168976093368814,88
32,0.0036656856536865234,0.0004695181624336194,0.0033338069915771484,0.0004696845201469649,"{0: 1, 1: 1}",5,8,6,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 6}",0.6715328467153284,0.6875,0.6323529411764705,66.37952626305997,0.023168976093368814,88
33,0.0036673545837402344,0.00047187781243972237,0.00299986203511556,5.947204250930057e-07,"{0: 1, 1: 1}",5,9,4,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 5, 'min_samples_leaf': 9, 'min_samples_split': 4}",0.6715328467153284,0.6875,0.6323529411764705,66.37952626305997,0.023168976093368814,88
34,0.003666957219441732,0.0004710901892354938,0.0029997825622558594,1.9466795466607238e-07,"{0: 1, 1: 1}",5,9,5,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 5, 'min_samples_leaf': 9, 'min_samples_split': 5}",0.6715328467153284,0.6875,0.6323529411764705,66.37952626305997,0.023168976093368814,88
35,0.003667593002319336,0.0004722149860164524,0.003004312515258789,6.418140764099746e-06,"{0: 1, 1: 1}",5,9,6,"{'class_weight': {0: 1, 1: 1}, 'max_depth': 5, 'min_samples_leaf': 9, 'min_samples_split': 6}",0.6715328467153284,0.6875,0.6323529411764705,66.37952626305997,0.023168976093368814,88
